slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1771209600,0.08,0.0,0.0,31.6,0.1,0.98,Down,0.060000000000000005
btc-updown-5m-1771210500,0.21999999999999997,0.002313309963328463,33.2,14318.529999999999,0.96,0.26,Up,0.85
btc-updown-5m-1771210800,0.2,0.7960888246396016,1586.0,406.24,0.5,0.7,Down,0.4
btc-updown-5m-1771211400,0.13,1.0,15.0,0.0,0.98,0.15,Up,0.915
btc-updown-5m-1771211700,0.04,0.0,0.0,58.0,0.05,0.99,Down,0.030000000000000002
btc-updown-5m-1771215000,0.06999999999999995,1.0,24.0,0.0,0.99,0.08,Up,0.9550000000000001
btc-updown-5m-1771223700,0.17000000000000004,0.19148799057289892,208.0,878.23,0.67,0.5,Up,0.585
btc-updown-5m-1771224000,0.13,0.0,0.0,56.230000000000004,0.14,0.99,Down,0.07500000000000001
btc-updown-5m-1771239600,0.18000000000000005,0.1684978185408108,105.82,522.2,0.88,0.3,Up,0.79
btc-updown-5m-1771241400,0.06999999999999995,1.0,64.0,0.0,0.99,0.08,Up,0.9550000000000001
btc-updown-5m-1771242900,0.30999999999999994,0.9961801601648519,9649.27,37.0,0.71,0.6,Down,0.5549999999999999
btc-updown-5m-1771248600,0.38,0.0,0.0,63.0,0.39,0.99,Down,0.2
btc-updown-5m-1771250400,0.18999999999999995,1.0,56.03,0.0,0.99,0.2,Up,0.895
btc-updown-5m-1771259700,0.15999999999999992,0.0718954248366013,33.0,426.0,0.71,0.45,Up,0.63
btc-updown-5m-1771261200,0.29000000000000004,0.25098347757671124,478.5,1428.0,0.4,0.89,Down,0.255
btc-updown-5m-1771264200,0.27999999999999997,0.0,0.0,569.56,0.29,0.99,Down,0.15
btc-updown-5m-1771264500,0.04999999999999999,0.9975479892829381,10227.67,25.14,0.15,0.9,Down,0.125
btc-updown-5m-1771266600,0.07999999999999996,0.031136837353158708,518.66,16138.779999999999,0.95,0.13,Up,0.9099999999999999
btc-updown-5m-1771269900,0.13,0.9978599325878765,11190.6,24.0,0.18,0.95,Down,0.11499999999999999
btc-updown-5m-1771276800,0.12,0.024334169391263843,194.33,7791.5599999999995,0.94,0.18,Up,0.8799999999999999
btc-updown-5m-1771277400,0.040000000000000036,0.04366196148165566,118.84,2602.98,0.8,0.24,Up,0.78
btc-updown-5m-1771278600,0.14,0.9033169833743053,7753.26,829.84,0.2,0.94,Down,0.13
