slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1770873000,0.6,0.000191808,0.0,-0.6001918079999999,5.982880365760732,6.060556956492523,0.05999999999999994,-0.6386947897726736,0.5700000000000001,171,2156
btc-updown-5m-1770918300,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.2872414494895938,1.7895432503388968,0.010000000000000009,-0.6380774695464941,0.505,19,34692
btc-updown-5m-1770922200,0.5,0.0001734375,0.0,-0.5001734375,2.507705586550249,1.8474432209777067,0.010000000000000009,0.0,0.495,66,36857
btc-updown-5m-1770930300,0.46,0.00015752663568000005,0.0,-0.46015752663568005,0.6807901840144901,1.7804846307857765,0.010000000000000009,1.6314241953511037e-14,0.455,82,20067
btc-updown-5m-1770935100,0.39,0.00012250292944500002,1.0,0.6098774970705549,0.6922840236686391,1.6787645789133194,0.010000000000000009,-2.5890986757292183,0.385,199,21581
btc-updown-5m-1771070700,0.5,0.0001734375,1.0,0.4998265625,0.3599499821364773,2.526769411669406,0.010000000000000009,0.0,0.495,76,33231
btc-updown-5m-1771084800,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.6842393443183957,1.562987592803808,0.010000000000000009,0.0,0.505,20,39341
btc-updown-5m-1771087200,0.5,0.0001734375,1.0,0.4998265625,0.4620609914727562,2.299422546828419,0.010000000000000009,-1.7161382448109745,0.495,36,39158
btc-updown-5m-1771108200,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.8489653759475517,2.155198693266195,0.010000000000000009,0.0,0.505,72,33950
btc-updown-5m-1771108800,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.6667719519898926,1.6623301032842512,0.020000000000000018,0.0,0.5,81,33039
btc-updown-5m-1771130700,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.7022097307277029,1.5420847089165182,0.010000000000000009,0.0,0.505,193,29378
btc-updown-5m-1771200000,0.46,0.00015752663568000005,0.0,-0.46015752663568005,0.8400130335614208,3.61448488197072,0.010000000000000009,-0.49497474683058335,0.455,63,36626
btc-updown-5m-1771239000,0.52,0.00017979826176,0.0,-0.52017979826176,2.5713834934436575,1.957657697513384,0.010000000000000009,-0.6110100926607783,0.515,24,37399
