slug,token_bought,entry_price,fee,cost,payout,pnl,winner,won,imbalance,spread,mid_price
btc-updown-5m-1770864900,Up,0.5549999999999999,0.00018788493308765625,0.5551878849330876,0.0,-5.551878849330876,Down,False,0.7403674854197378,0.044999999999999984,0.5325
btc-updown-5m-1770927600,Up,0.55,0.00018698470312500002,0.550186984703125,0.0,-5.50186984703125,Down,False,0.629741416667385,0.040000000000000036,0.53
btc-updown-5m-1770933300,Down,0.52,0.00017979826176,0.52017979826176,1.0,4.7982020173824,Down,True,-0.6181667577479215,0.020000000000000018,0.49
btc-updown-5m-1771001100,Up,0.5241176470588236,0.00018095830996464317,0.5242986053687883,0.0,-5.242986053687883,Down,False,0.5247075579013046,0.054117647058823576,0.4970588235294117
btc-updown-5m-1771014300,Up,0.5342857142857144,0.00018359159283895524,0.5344693058785533,0.0,-5.344693058785533,Down,False,0.4281070775034262,0.020000000000000018,0.5242857142857142
btc-updown-5m-1771019700,Up,0.54,0.00018492257232000006,0.54018492257232,1.0,4.5981507742768,Up,True,0.47254340776205006,0.020000000000000018,0.53
btc-updown-5m-1771031100,Up,0.5117391304347826,0.00017731386812067608,0.5119164443029033,1.0,4.880835556970967,Up,True,0.40764792051941057,0.021304347826086974,0.5010869565217392
btc-updown-5m-1771035900,Up,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Up,True,0.7372793337884698,0.020000000000000018,0.54
btc-updown-5m-1771050600,Down,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Down,True,-0.5315428474187925,0.03999999999999998,0.47
btc-updown-5m-1771055100,Down,0.536,0.00018400232612167681,0.5361840023261217,0.0,-5.361840023261218,Up,False,-0.6009860443680887,0.020000000000000018,0.48
btc-updown-5m-1771058100,Down,0.5706896551724138,0.0001901234519171599,0.5708797786243309,0.0,-5.708797786243309,Up,False,-0.537211815654201,0.04966666666666666,0.45383333333333326
btc-updown-5m-1771067400,Up,0.3924,0.00012379853620935835,0.3925237985362094,1.0,6.074762014637907,Up,True,0.44783117207348705,0.061500000000000006,0.36164999999999997
btc-updown-5m-1771086300,Up,0.5678947368421052,0.00018979100549077296,0.568084527847596,1.0,4.31915472152404,Up,True,0.6291391479716687,0.026315789473684164,0.5547368421052631
btc-updown-5m-1771087200,Down,0.5366666666666667,0.00018415941984179017,0.5368508260865086,0.0,-5.368508260865086,Up,False,-0.5249097533906608,0.024285714285714285,0.47547619047619044
btc-updown-5m-1771098900,Down,0.53,0.00018252245761499997,0.530182522457615,0.0,-5.30182522457615,Up,False,-0.415167408900263,0.020000000000000018,0.48
btc-updown-5m-1771102800,Down,0.55,0.00018698470312500002,0.550186984703125,0.0,-5.50186984703125,Up,False,-0.8536324256812347,0.02999999999999997,0.46499999999999997
btc-updown-5m-1771111500,Up,0.54,0.00018492257232000006,0.54018492257232,1.0,4.5981507742768,Up,True,0.7222619152518515,0.030000000000000027,0.525
btc-updown-5m-1771138200,Up,0.536,0.00018400232612167681,0.5361840023261217,1.0,4.638159976738782,Up,True,0.5638298894157983,0.020000000000000018,0.526
btc-updown-5m-1771138500,Up,0.5476190476190477,0.00018652508264670734,0.5478055727016944,1.0,4.521944272983056,Up,True,0.4921831408487022,0.020476190476190495,0.5373809523809524
btc-updown-5m-1771140600,Up,0.52,0.00017979826176,0.52017979826176,1.0,4.7982020173824,Up,True,0.553789933476939,0.020000000000000018,0.51
btc-updown-5m-1771163100,Up,0.5605882352941177,0.00018878534667462926,0.5607770206407924,0.0,-5.607770206407924,Down,False,0.6913636465938987,0.020588235294117657,0.5502941176470588
btc-updown-5m-1771163700,Up,0.5464705882352942,0.0001862963192103065,0.5466568845545045,1.0,4.533431154454956,Up,True,0.5719062133730478,0.020000000000000018,0.5364705882352941
btc-updown-5m-1771169700,Up,0.5454166666666668,0.00018608236428903035,0.5456027490309558,1.0,4.543972509690441,Up,True,0.5692557824471277,0.02666666666666669,0.5320833333333334
btc-updown-5m-1771182000,Down,0.5,0.0001734375,0.5001734375,1.0,4.998265625,Down,True,-0.4057525314920166,0.020000000000000018,0.51
btc-updown-5m-1771197000,Up,0.5587500000000001,0.0001885015945697292,0.5589385015945698,1.0,4.410614984054302,Up,True,0.6735353128301076,0.030625000000000027,0.5434375
btc-updown-5m-1771219500,Up,0.52,0.00017979826176,0.52017979826176,1.0,4.7982020173824,Up,True,0.6931556163175506,0.020000000000000018,0.51
btc-updown-5m-1771237500,Up,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Up,True,0.771919904858765,0.024500000000000022,0.5377500000000001
btc-updown-5m-1771245600,Down,0.49,0.00016983280219500004,0.490169832802195,1.0,5.098301671978049,Down,True,-0.4462217719814461,0.020000000000000018,0.52
btc-updown-5m-1771248300,Up,0.5395000000000001,0.00018481048180351764,0.5396848104818036,0.0,-5.396848104818036,Down,False,0.41584196970539056,0.02250000000000002,0.5282500000000001
btc-updown-5m-1771250100,Up,0.5457142857142857,0.0001861431726243684,0.54590042888691,1.0,4.5409957111309,Up,True,0.6036506253866465,0.020000000000000018,0.5357142857142857
btc-updown-5m-1771256400,Up,0.5610204081632654,0.0001888502757437919,0.5612092584390092,1.0,4.3879074156099085,Up,True,0.4294111030755324,0.033265306122448976,0.5443877551020408
btc-updown-5m-1771256700,Up,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Up,True,0.6309928526396328,0.020000000000000018,0.54
btc-updown-5m-1771258500,Up,0.52,0.00017979826176,0.52017979826176,0.0,-5.2017979826176,Down,False,0.4376014126439974,0.020000000000000018,0.51
btc-updown-5m-1771297800,Up,0.55,0.00018698470312500002,0.550186984703125,1.0,4.49813015296875,Up,True,0.6063120704386811,0.020000000000000018,0.54
btc-updown-5m-1771324200,Up,0.5353846153846155,0.00018385600438495657,0.5355684713890004,0.0,-5.355684713890004,Down,False,0.75708986315529,0.025384615384615408,0.5226923076923077
btc-updown-5m-1771324500,Up,0.625625,0.0001904798090627666,0.6258154798090627,0.0,-6.258154798090628,Down,False,0.6829988565306536,0.03437500000000003,0.6084375
btc-updown-5m-1771324800,Up,0.5445454545454546,0.00018590260533181072,0.5447313571507864,0.0,-5.4473135715078635,Down,False,0.4578582341059695,0.02272727272727275,0.5331818181818182
btc-updown-5m-1771328400,Up,0.55,0.00018698470312500002,0.550186984703125,0.0,-5.50186984703125,Down,False,0.6062517684163036,0.020000000000000018,0.54
btc-updown-5m-1771341300,Up,0.6053846153846154,0.0001917499012178506,0.6055763652858333,1.0,3.9442363471416675,Up,True,0.4405971100214318,0.059615384615384556,0.5755769230769231
btc-updown-5m-1771345800,Up,0.5641666666666667,0.00018930240725091685,0.5643559690739176,1.0,4.356440309260824,Up,True,0.4774374358105909,0.024166666666666642,0.5520833333333334
btc-updown-5m-1771346400,Down,0.5406557377049181,0.00018506829499428202,0.5408408059999125,1.0,4.591591940000876,Down,True,-0.7523655944798047,0.034999999999999976,0.47083333333333327
btc-updown-5m-1771351200,Up,0.51,0.00017676475330500002,0.510176764753305,0.0,-5.10176764753305,Down,False,0.4591029858348421,0.020000000000000018,0.5
btc-updown-5m-1771378200,Up,0.5383333333333334,0.0001845456600304611,0.5385178789933639,0.0,-5.385178789933639,Down,False,0.5972921107354608,0.02375000000000002,0.5264583333333334
btc-updown-5m-1771382100,Down,0.51,0.00017676475330500002,0.510176764753305,0.0,-5.10176764753305,Up,False,-0.6107469063400615,0.021666666666666685,0.5008333333333334
btc-updown-5m-1771395900,Down,0.6278571428571429,0.00019023695092306676,0.6280473798080659,0.0,-6.280473798080659,Up,False,-0.434192044666694,0.11785714285714285,0.4310714285714286
btc-updown-5m-1771398600,Down,0.5041666666666667,0.00017485852406386385,0.5043415251907305,1.0,4.956584748092695,Down,True,-0.6773094104510134,0.04250000000000004,0.5170833333333333
btc-updown-5m-1771398900,Up,0.5420689655172414,0.00018537739236318857,0.5422543429096046,0.0,-5.422543429096046,Down,False,0.4169568622938387,0.026896551724137956,0.5286206896551724
btc-updown-5m-1771401600,Down,0.5567567567567568,0.00018818011083572867,0.5569449368675926,0.0,-5.569449368675926,Up,False,-0.8230486532737622,0.029615384615384592,0.4536538461538461
btc-updown-5m-1771403700,Down,0.51,0.00017676475330500002,0.510176764753305,1.0,4.89823235246695,Down,True,-0.42667772602247955,0.020000000000000018,0.5
btc-updown-5m-1771405500,Up,0.55,0.00018698470312500002,0.550186984703125,0.0,-5.50186984703125,Down,False,0.6373982243605424,0.020000000000000018,0.54
btc-updown-5m-1771409100,Up,0.58,0.00019101855024000001,0.5801910185502399,1.0,4.198089814497601,Up,True,0.6891916220855051,0.03599999999999992,0.5619999999999999
btc-updown-5m-1771419600,Up,0.5735714285714285,0.00019043558432327466,0.5737618641557518,0.0,-5.737618641557518,Down,False,0.6920569619547153,0.030357142857142812,0.5583928571428571
btc-updown-5m-1771425300,Up,0.5288888888888889,0.00018223551031380173,0.5290711243992027,1.0,4.7092887560079735,Up,True,0.42325645964545644,0.025000000000000022,0.5163888888888889
btc-updown-5m-1771437900,Up,0.61075,0.00019157580209078036,0.6109415758020907,1.0,3.8905842419790924,Up,True,0.6200735286715927,0.06299999999999997,0.57925
btc-updown-5m-1771438800,Up,0.5614285714285715,0.00018891097310377316,0.5616174824016753,0.0,-5.616174824016753,Down,False,0.9660405285639188,0.021428571428571432,0.5507142857142858
btc-updown-5m-1771449000,Up,0.5660000000000001,0.00018954910393819685,0.5661895491039383,1.0,4.338104508960617,Up,True,0.5432097665908813,0.025999999999999957,0.5529999999999999
btc-updown-5m-1771453800,Up,0.5755172413793103,0.00019062862245468012,0.5757078700017649,1.0,4.242921299982351,Up,True,0.5693689922394979,0.03275862068965511,0.5591379310344827
btc-updown-5m-1771491900,Up,0.5246153846153846,0.00018109493163405113,0.5247964795470187,1.0,4.752035204529813,Up,True,0.4121228929541378,0.0230769230769231,0.5130769230769231
